Answer	Name	Dorm	Clubs
GOOD FAT	Clementine	Dorm Row	Math Association, Rock and Roll Band, The Consortium
WHY ME	Elizabeth	Dorm Row	Rock and Roll Band, Start-a-Club Club, Talk Like A Pirate Crew, The Consortium
ANGLE BRACKETS	Daniel	Dorm Row	Rock and Roll Band, Start-a-Club Club, The Club for Unique People
NAPOLEON	Francisco	Dorm Row	Rock and Roll Band, The Consortium, The Geographers
THE GOGOS	Connor	Dorm Row	Math Association, Rock and Roll Band, Talk Like A Pirate Crew, The Geographers
FUEGO	Cami	Dorm Row	Airplane Enthusiasts, Honor Society, Start-a-Club Club, Statesmen
BASIC	Zachary	Dorm Row	Airplane Enthusiasts, Honor Society, Start-a-Club Club, Talk Like A Pirate Crew, The Club for Unique People
HAM IT UP	Wilhelmina	Dorm Row	Rock and Roll Band, Start-a-Club Club, Statesmen
SOLE MEUNIERE	Leon	Random Hall	Rock and Roll Band, Talk Like A Pirate Crew, The Club for Unique People
WHITE	Frederick	Dorm Row	Rock and Roll Band, Talk Like A Pirate Crew, The Consortium
END LOADED	Alexander	Simmons Hall	Amateur Rock and Roll Band, Start-a-Club Club, Talk Like A Pirate Crew, The Consortium, The Geographers
ARCHIVED EDITIONS	Josephine	Dorm Row	Rock and Roll Band, The Consortium
DARN IT ALL	Lennart	Simmons Hall	Rock and Roll Band, Start-a-Club Club, Statesmen, The Consortium
DRESS CODE	Nicholas	Random Hall	Math Association, Rock and Roll Band, Singles Club, Start-a-Club Club, The Consortium
SALTON SEA	Chris	Simmons Hall	Amateur Rock and Roll Band, Math Association, Singles Club, Start-a-Club Club, Talk Like A Pirate Crew
GATHERER CHILDREN	Mackenzie	Dorm Row	Rock and Roll Band, Talk Like A Pirate Crew, The Consortium, The Geographers
HABITUAL	Patrick	Random Hall	Amateur Rock and Roll Band, Talk Like A Pirate Crew, The Club for Unique People
UNDOING	Joshua	Dorm Row	Singles Club, Start-a-Club Club, Talk Like A Pirate Crew
NET LOSSES	Xander	Simmons Hall	Math Association, Rock and Roll Band, The Club for Unique People, The Consortium
CALANTHE	Charlotte	East Campus	Rock and Roll Band, Start-a-Club Club, Talk Like A Pirate Crew, The Consortium, The Geographers
